de.it,1,2,3,4,5,6
1,0.47304991679126607,0.17541160386140586,0.11322770341445959,0.3344968040028363,0.0,0.16641005886756874
2,0.0753778361444409,0.11180339887498948,0.0,0.10660035817780521,0.0,0.0
3,0.2956561979945413,0.08770580193070293,0.22645540682891918,0.25087260300212727,0.0,0.22188007849009164
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.13636363636363635,0.0674199862463242,0.0,0.1928473039599675,0.05504818825631802,0.12792042981336624
7,0.2261335084333227,0.11180339887498948,0.0,0.21320071635561041,0.0,0.21213203435596426
8,0.12856486930664499,0.09534625892455924,0.0,0.09090909090909091,0.0,0.0
9,0.3302891295379081,0.1632993161855452,0.0,0.3113995776646092,0.0,0.25819888974716115
10,0.0,0.0,0.0,0.0,0.3380617018914066,0.08728715609439695
11,0.0,0.0,0.0,0.0,0.0,0.0
