de.fr,1,2,3,4,5
1,0.0,0.16692446522239712,0.30588764516074896,0.0,0.0
2,0.06482037235521644,0.23529411764705882,0.16169041669088866,0.09166984970282112,0.0
3,0.0,0.08574929257125441,0.1178511301977579,0.26726124191242434,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.16666666666666666
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.11952286093343936,0.10540925533894598
9,0.0,0.19802950859533489,0.2721655269759087,0.0,0.0
10,0.0,0.07312724241271307,0.10050378152592121,0.3418817293789138,0.0
