de.en,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,0.061224489795918366,0.034482758620689655,0.0,0.12,0.08,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.06896551724137931
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.045454545454545456
4,0.0,0.0,0.0,0.043478260869565216,0.045454545454545456,0.21428571428571427,0.19047619047619047,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.08
5,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.11538461538461539,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931
6,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
7,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.19230769230769232,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06451612903225806
8,0.21951219512195122,0.037037037037037035,0.0,0.0,0.08695652173913043,0.0,0.0,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.09090909090909091,0.08571428571428572,0.0,0.02857142857142857,0.029411764705882353,0.0,0.0,0.021739130434782608,0.05128205128205128,0.0,0.0,0.02857142857142857,0.03125,0.0,0.041666666666666664,0.02631578947368421
10,0.09090909090909091,0.05555555555555555,0.0,0.0,0.06060606060606061,0.0,0.0,0.044444444444444446,0.025,0.0,0.0,0.0,0.0,0.038461538461538464,0.16279069767441862,0.0
11,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.03571428571428571
